Movie Title,Rating,Genres,Plot,Directors,Actors,Release Date,Runtime
bad-boys-ride-or-die,7.0,"Action, Adventure, Comedy, Crime, Thriller","This Summer, the world's favorite Bad Boys are back with their iconic mix of edge-of-your seat action and outrageous comedy but this time with a twist: Miami's finest are now on the run.","Adil El Arbi, Bilall Fallah","Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig, Paola Núñez",05 Jun 2024 (Belgium),115
inside-out-2,8.1,"Animation, Adventure, Comedy, Drama, Family, Fantasy","Follows Riley, in her teenage years, encountering new emotions.",Kelsey Mann,"Amy Poehler, Maya Hawke, Kensington Tallman, Liza Lapira, Tony Hale",12 Jun 2024 (Germany),96
inside-out-2-arabic-dub,8.1,"Animation, Adventure, Comedy, Drama, Family, Fantasy","Follows Riley, in her teenage years, encountering new emotions.",Kelsey Mann,"Amy Poehler, Maya Hawke, Kensington Tallman, Liza Lapira, Tony Hale",12 Jun 2024 (Germany),96
a-quiet-place-day-one,Rating not found,"Drama, Horror, Sci-Fi, Thriller",Plot under wraps.,Michael Sarnoski,"Joseph Quinn, Djimon Hounsou, Lupita Nyong'o, Alex Wolff, Thea Butler",26 Jun 2024 (Belgium),100
welad-rizk-3,7.1,"Action, Comedy, Crime, Drama, Thriller","Three years after the events of the first part, the four brothers try their best to keep their oath to stay away from the life of crime. As one unexpected incident takes place in their lives, everything changes and they find themselves stepping into new worlds in which they must face deadly criminals.","Tarek Alarian, Ahmed Maher","Ahmed Ezz, Amr Youssef, Ahmad El-Fishawi, Ahmed Dawood, Karim Kassem",08 Aug 2019 (United Arab Emirates),103
alla3eb-ma3-el3yal,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found
exhuma-korean,Rating not found,Genres not found,Plot not found,Director not found,Actors not found,21 Apr 2024,30
the-strangers-chapter-1,4.7,Horror,"After their car breaks down in an eerie small town, a young couple is forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motive.",Renny Harlin,"Ryan Bown, Matus Lajcak, Olivia Kreutzova, Letizia Fabbri, Madelaine Petsch",15 May 2024 (Belgium),91
doraemon-the-movie-nobita’s-earth-symphony,6.8,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Music, Sci-Fi","Doraemon and friends go on an adventure to meet new buddies, connect to people with music, and save the world from a crisis.",Kazuaki Imai,"Wasabi Mizuta, Megumi Ôhara, Yumi Kakazu, Subaru Kimura, Tomokazu Seki",01 Mar 2024 (Japan),115
grrr..-malayalam,Rating not found,Thriller,Plot not found,"Basil Hussain, Muhammed Shan",Rahul CB,Release date not found,Runtime not found
