Movie Title,Show Time
Bad Boys Ride Or Die,5:40 PM
Bad Boys Ride Or Die,8:20 PM
Bad Boys Ride Or Die,11:00 PM
Bad Boys Ride Or Die,"1:40 AM
After Midnight"
Bad Boys Ride Or Die,5:00 PM
Bad Boys Ride Or Die,6:00 PM
Bad Boys Ride Or Die,7:15 PM
Bad Boys Ride Or Die,7:40 PM
Welad Rizk 3 El Qadia,3:30 PM
Welad Rizk 3 El Qadia,6:20 PM
Welad Rizk 3 El Qadia,9:15 PM
Welad Rizk 3 El Qadia,"12:15 AM
After Midnight"
Alla3Eb Ma3 El 3Iyal Arabic ,5:45 PM
Alla3Eb Ma3 El 3Iyal Arabic ,10:10 PM
Alla3Eb Ma3 El 3Iyal Arabic ,"1:00 AM
After Midnight"
Tarot,5:30 PM
Tarot,11:00 PM
Tarot,8:30 PM
Tarot,"1:10 AM
After Midnight"
Tani Tani Arabic ,1:15 PM
Tani Tani Arabic ,5:50 PM
Tani Tani Arabic ,8:10 PM
Tani Tani Arabic ,10:30 PM
Furiosa A Mad Max Saga,4:30 PM
Furiosa A Mad Max Saga,7:45 PM
Furiosa A Mad Max Saga,11:00 PM
Furiosa A Mad Max Saga,"2:10 AM
After Midnight"
The Watchers,8:45 PM
The Watchers,11:15 PM
The Watchers,"1:45 AM
After Midnight"
Dragon Keeper,5:00 PM
Ezra,1:30 PM
Detective Conan The Million Dollar Pentagram Ani,10:15 PM
Detective Conan The Million Dollar Pentagram Ani,"12:50 AM
After Midnight"
The Fall Guy,11:00 AM
Kingdom Of The Planet Of The Apes,5:20 PM
If Imaginary Friends,1:00 PM
If Imaginary Friends,3:40 PM
If Imaginary Friends,6:30 PM
El Serb Arabic ,3:30 PM
Ahlam Alasr Arabic ,4:20 PM
Lahazat Lazeeza Arabic ,7:15 PM
Lahazat Lazeeza Arabic ,"12:45 AM
After Midnight"
Shabab Albomb Arabic ,8:10 PM
Shabab Albomb Arabic ,"1:45 AM
After Midnight"
Shabab Albomb Arabic ,10:15 PM
Land Of Bad,4:30 PM
Land Of Bad,10:35 PM
Sheqo Arabic ,2:15 PM
Damaged,10:50 PM
