Movie Name,Available Seats,Unavailable Seats,Percent Available,Percent Unavailable
alla3eb-ma3-el3yal-,64,6,91.42857142857143,8.571428571428571
bad-boys-ride-or-die,135,7,95.07042253521126,4.929577464788732
garfield-arabic-dub,51,20,71.83098591549296,28.169014084507044
garfield,52,18,74.28571428571429,25.71428571428571
inside-out-2-arabic-dub,103,0,100.0,0.0
inside-out-2,103,0,100.0,0.0
tani-tani,55,5,91.66666666666666,8.333333333333332
tarot,50,19,72.46376811594203,27.536231884057973
the-watchers,63,6,91.30434782608695,8.695652173913043
welad-rizk-3,62,8,88.57142857142857,11.428571428571429
