Movie Name,Available Seats,Unavailable Seats,Percent Available,Percent Unavailable
a-quiet-place-day-one,156,5,96.8944099378882,3.1055900621118013
alla3eb-ma3-el3yal-,60,4,93.75,6.25
bad-boys-ride-or-die,152,9,94.40993788819875,5.590062111801243
chandu-champion-hindi,1,0,100.0,0.0
detective-conan-the-million-dollar-pentagram-ar,58,8,87.87878787878788,12.121212121212121
detective-conan-the-million-dollar-pentagram,87,5,94.56521739130434,5.434782608695652
dragonkeeper,42,0,100.0,0.0
exhuma-korean,62,2,96.875,3.125
furiosa-a-mad-max-saga,93,8,92.07920792079209,7.920792079207921
garfield-arabic-dub,71,0,100.0,0.0
garfield,69,3,95.83333333333334,4.166666666666666
golam-malayalam,92,0,100.0,0.0
if-imaginary-friends,64,0,100.0,0.0
inside-out-2-arabic-dub,42,0,100.0,0.0
inside-out-2,37,27,57.8125,42.1875
lahazat-lazeeza,90,3,96.7741935483871,3.225806451612903
shabab-albomb,92,0,100.0,0.0
tani-tani,88,4,95.65217391304348,4.3478260869565215
tarot,92,0,100.0,0.0
the-strangers-chapter-1,64,0,100.0,0.0
the-watchers,92,0,100.0,0.0
welad-rizk-3,62,9,87.32394366197182,12.676056338028168
